coucode,indcode,emp,emp_tele,emp_share,tele
1,1,0.698475950101669,0.0533594127772943,0.0250573905924527,0.0763940587639809
1,2,0.262284826222636,0.0667463609581976,0.0190002416756561,0.254480451345444
1,3,0.691764981326232,0.155511018811123,0.0203793186668439,0.224803254008293
1,4,0.16659353768858,0.0374507693691461,0.00289412288132343,0.224803254008293
1,5,0.0778579053800976,0.0175027104797157,0.0039797666814156,0.224803254008293
1,6,0.215478155143197,0.0484401904438945,0.0124643777079454,0.224803254008293
1,7,0.52288202249106,0.117545580118428,0.000971507476982859,0.224803254008293
1,8,0.617983354216861,0.13892466895091,0.00426713058501946,0.224803254008293
1,9,0.159902621112577,0.0359466295505625,0.00257438944443007,0.224803254008293
1,10,0.0956394087577328,0.0215000503001676,0.00259698068120503,0.224803254008293
1,11,0.136131015925036,0.0306026953514028,0.0101952228469561,0.224803254008293
1,12,0.172612095038734,0.0388037606458961,0.00517137012563509,0.224803254008293
1,13,0.171817017176004,0.0386250245551646,0.00404163969556791,0.224803254008293
1,14,0.0949980159479535,0.0213558631094317,0.00688400504189199,0.224803254008293
1,15,0.109395290906982,0.0245924173690733,0.00806953919861971,0.224803254008293
1,16,0.633632710037441,0.23445384973802,0.0119512700279111,0.370015382766724
1,17,0.0591644690169258,0.0109808785840706,0.0877735299321664,0.185599207878113
1,18,0.133118518483514,0.0190938866194213,0.0231744784437875,0.14343523979187
1,19,0.293996796273401,0.152158792957688,0.0306343071364621,0.517552554607391
1,20,0.38908275308287,0.0558081779873225,0.0932104313855669,0.14343523979187
1,21,0.0557880476805775,0.00197299628337522,0.0700824841458831,0.0353659316897392
1,22,0.214683106833365,0.0399621469679456,0.0243047146478123,0.186144813895226
1,23,0.193549423618152,0.036028221438929,0.000798448487807518,0.186144813895226
1,24,0.355358404768436,0.0661481241217247,0.00451630855482088,0.186144813895226
1,25,0.19724028038774,0.036715255285418,0.012043573775182,0.186144813895226
1,26,0.581640490040534,0.417072568358214,0.0161173301170605,0.717062473297119
1,27,0.601486708532785,0.45835095563576,0.0330424655401451,0.762030065059662
1,28,0.0801601984676373,0.033515683676674,0.0143292505854544,0.4181087911129
1,29,0.272487923994299,0.218741676357788,0.124749568132262,0.802757322788239
1,30,0.918159603408097,0.380830674729396,0.0620249149309277,0.414776116609573
1,31,0.0165237139318526,0.0136562704256605,0.078681484382501,0.826464951038361
1,32,0.99222695819788,0.250558684172051,0.124429750399709,0.252521544694901
1,33,0.139064910519477,0.0413709135216506,0.0417448965511021,0.297493547201157
1,34,0.0233682385453884,0.00729908822797339,0.0178437895214932,0.312350809574127
2,1,0.615939303262806,0.0470541033285043,0.0441631584002774,0.0763940587639809
2,2,0.504832108181385,0.128469902743671,0.00150170200703293,0.254480451345444
2,3,0.661334626566145,0.148670176040429,0.0192808229608128,0.224803254008293
2,4,0.147492860985176,0.0331568750924605,0.0047581228959187,0.224803254008293
2,5,0.0943886642631546,0.0212188788678534,0.00763501847257461,0.224803254008293
2,6,0.222635555820602,0.0500491974064163,0.0133044706676131,0.224803254008293
2,7,0.747569291552182,0.168056009337605,0.000285815358592851,0.224803254008293
2,8,0.704539425075814,0.158382755334175,0.00752256652821021,0.224803254008293
2,9,0.176511988639834,0.0396804694177095,0.00702590377393411,0.224803254008293
2,10,0.116268468802128,0.0261375301252802,0.00751319553284651,0.224803254008293
2,11,0.133303692130836,0.0299671037623317,0.0258803464456986,0.224803254008293
2,12,0.104539446338083,0.0235008077090263,0.0186787365086951,0.224803254008293
