coucode,casecode,indcode,dQi,dCi
1,21,1,0.102249311196734,-0.000396806904068292
1,21,2,0.0172452724693259,-0.000396806904068514
1,21,3,0.169462426305889,-0.000396806904068292
1,21,4,0.0186172318125771,-0.000396806904068514
1,21,5,0.00933303528623142,NaN
1,21,6,0.0369779761547029,-0.000396806904068514
1,21,7,0.018773397042692,-0.000396806904068514
1,21,8,0.0181185007310461,-0.000396806904068292
1,21,9,0.0198115198073062,-0.000396806904068292
1,21,10,0.0125870453022561,NaN
1,21,11,0.0150226005013289,-0.000396806904068292
1,21,12,0.0199216938605609,-0.000396806904068292
1,21,13,0.013989171126072,-0.000396806904068514
1,21,14,0.00921340972073492,-0.000396806904068514
1,21,15,0.0144014716625992,-0.000396806904068514
1,21,16,0.0359136624263189,-0.000396806904068292
1,21,17,0.00646810358092897,-0.000396806904068514
1,21,18,0.0118419747981181,-0.000396806904068292
1,21,19,0.0241014433564403,-0.000396806904068292
1,21,20,0.0095172614483684,-0.000396806904068514
1,21,21,0.75848546989373,0.898714027064488
1,21,22,0.0270716519705193,-0.000396806904068292
1,21,23,0.0221944898333459,-0.000396806904068292
1,21,24,0.0289947835640734,-0.000396806904068514
1,21,25,0.0199962322919244,-0.000396806904068514
1,21,26,0.01692078385714,-0.000396806904068292
1,21,27,0.0221274756560148,-0.000396806904068292
1,21,28,0.021321367247118,-0.000396806904068514
1,21,29,0.0307697890380964,-0.000396806904068292
1,21,30,0.00244343556499393,-0.000396806904068514
1,21,31,0.000811116536242329,-0.000396806904068292
1,21,32,-0,-0.000396806904068292
1,21,33,0.0119760769897076,-0.00039680690406807
1,21,34,0.00144843789827198,-0.000396806904068292
1,22,1,0.00216175327777202,-0.000116047828122356
1,22,2,0.0169852782262286,-0.000116047828122579
1,22,3,0.00164498941764646,-0.000116047828122134
1,22,4,0.00680219805278559,-0.000116047828122356
1,22,5,0.00422342971056755,NaN
1,22,6,0.00684737111558098,-0.000116047828122356
1,22,7,0.0383444560502676,-0.000116047828122579
1,22,8,0.00468119169980941,-0.000116047828122356
1,22,9,0.0129908035877608,-0.000116047828122579
1,22,10,0.0041861193351348,NaN
1,22,11,0.0100019250642537,-0.000116047828122134
1,22,12,0.0106873986111381,-0.000116047828122579
1,22,13,0.00736817652853239,-0.000116047828122356
1,22,14,0.0188004195193482,-0.000116047828122579
1,22,15,0.00477530613767629,-0.000116047828122356
1,22,16,0.00714769940962701,-0.000116047828122356
1,22,17,0.00279984526632682,-0.000116047828122579
1,22,18,0.0659785544078869,-0.000116047828122134
1,22,19,0.00893333792416706,-0.000116047828122356
1,22,20,0.00501237762231133,-0.000116047828122134
1,22,21,0.00197195109026771,-0.000116047828122356
1,22,22,0.365117779930743,0.755414686960096
1,22,23,0.0134868048346738,-0.000116047828122356
1,22,24,0.0118212524985497,-0.000116047828122356
1,22,25,0.0165872216527477,-0.000116047828122356
1,22,26,0.0108973046681206,-0.000116047828122356
1,22,27,0.0062592729839237,-0.000116047828122356
1,22,28,0.00379829960782996,-0.000116047828122356
1,22,29,0.0102144945195513,-0.000116047828122356
1,22,30,0.00265583675452175,-0.000116047828122356
1,22,31,0.000482156027204028,-0.000116047828122579
1,22,32,1.11022302462516e-16,-0.000116047828122356
1,22,33,0.00657122983453773,-0.000116047828122356
1,22,34,0.000697964443474364,-0.000116047828122356
1,24,1,7.60839063630447e-05,-4.09680875490537e-06
1,24,2,0.00119242643038409,-4.09680875490537e-06
1,24,3,7.35491401169241e-05,-4.09680875468332e-06
1,24,4,0.000166505880074164,-4.09680875490537e-06
1,24,5,0.000120927987272812,NaN
1,24,6,0.000356119808403332,-4.09680875490537e-06
1,24,7,0.00325515480575223,-4.09680875468332e-06
1,24,8,0.000154500989430817,-4.09680875468332e-06
1,24,9,0.000222785277034565,-4.09680875446128e-06
1,24,10,0.000130191831664961,NaN
1,24,11,0.000262864093468762,-4.09680875490537e-06
1,24,12,0.000294025358066219,-4.09680875490537e-06
1,24,13,0.000273071447150053,-4.09680875468332e-06
1,24,14,0.00150854384652754,-4.09680875468332e-06
1,24,15,0.000144799551538122,-4.09680875468332e-06
1,24,16,0.000240290494175177,-4.09680875490537e-06
1,24,17,7.77380509182635e-05,-4.09680875490537e-06
1,24,18,0.000199383999978764,-4.09680875468332e-06
1,24,19,0.000349391178539715,-4.09680875490537e-06
1,24,20,7.00802525770428e-05,-4.09680875468332e-06
1,24,21,0.000125098908114407,-4.09680875490537e-06
1,24,22,0.000475060008847117,-4.09680875446128e-06
1,24,23,0.000689899116883663,-4.09680875468332e-06
1,24,24,0.0242035772896279,0.584953429753716
1,24,25,0.00139809817965386,-4.09680875468332e-06
1,24,26,0.000260555141153307,-4.09680875468332e-06
1,24,27,0.000181705225931528,-4.09680875468332e-06
1,24,28,0.000124036793868521,-4.09680875468332e-06
1,24,29,0.00060386556508607,-4.09680875468332e-06
1,24,30,4.38504046322841e-05,-4.09680875490537e-06
1,24,31,1.64794144691394e-05,-4.09680875468332e-06
1,24,32,-2.22044604925031e-16,-4.09680875468332e-06
1,24,33,0.000209381224034022,-4.09680875468332e-06
1,24,34,2.37626774756139e-05,-4.09680875468332e-06
1,33,1,0.0135654435638897,-0.000289886838600761
1,33,2,0.010877653488871,-0.000289886838600761
1,33,3,0.0133708265023443,-0.000289886838600761
1,33,4,0.0167391763081221,-0.000289886838600761
1,33,5,0.0101196220113106,NaN
1,33,6,0.0229316864089288,-0.000289886838600983
1,33,7,0.0117245262415525,-0.000289886838600761
1,33,8,0.028387111376849,-0.000289886838600761
