coucode,emp,emp_tele
1,0.324154508438307,0.118482384315033
2,0.29954112946605,0.106114408199696
3,0.376224177442986,0.149660096893025
4,0.444653300373685,0.115164584258312
5,0.352224245967769,0.100728600466601
6,0.348765756045011,0.134883067471055
7,0.365294989226986,0.140598532699843
8,0.354401317605169,0.081544239311166
9,0.312655101072855,0.120049852344955
10,0.296539218155642,0.100019506763871
11,0.361279632815513,0.136380498522948
12,0.377896762311608,0.129330547947129
13,0.299444165303638,0.109570095050869
14,0.319160968385031,0.107565896574488
15,0.370759900009304,0.123905084042553
16,0.376909359832936,0.138569090467314
17,0.34360423033795,0.140404017408877
18,0.453683005502874,0.141050803798193
19,0.450930276247126,0.130480997153006
20,0.358027366005042,0.12335247525285
21,0.396457421931978,0.0692311429980502
22,0.476939953821566,0.0609481004215489
23,0.312339463353132,0.109651927148331
24,0.278682726605295,0.102101669030477
25,0.362682336412871,0.122195735564562
26,0.310800519191379,0.103723940806604
27,0.428891796693239,0.129779321868222
28,0.355313101272273,0.165316667018709
29,0.316615661514382,0.102198498415922
30,0.373417115816869,0.0822988633867353
31,0.353606233168427,0.157009008276581
32,0.372358307842072,0.142417127520367
33,0.415513063351435,0.13037073569294
34,0.390111631065686,0.116640825885545
35,0.390992859119663,0.127914715059714
36,0.51222306359633,0.101779199602655
37,0.414177983150095,0.0994498913614861
38,0.366824378422296,0.133981277532076
39,0.385696659187163,0.125530792163714
40,0.333681811186119,0.112157163774862
41,0.400459836310729,0.0859049956864572
42,0.253484784875519,0.0843262251853443
43,0.451155978861274,0.183475272932245
