coucode,casecode,indcode,ecorisk,dCi
1,20,27,0.0368246458560323,-0
1,20,28,0.034529206671985,-0
1,20,29,0.0654174347238637,-0
1,20,30,0.0106816572752593,-0
1,20,31,0.00335156551310523,-0
1,20,32,0.000834978855249302,-0
1,20,33,0.0409363131705925,-0
1,20,34,0.00553757820328293,-0
1,0,1,0.160820510738043,-0
1,0,2,0.22655460862115,0.163742667883981
1,0,3,0.211429678214436,-0
1,0,4,0.446319865254426,0.720412296225763
1,0,5,0.0619001340253346,NaN
1,0,6,0.326392081639074,0.541199310966665
1,0,7,0.380795077061172,0.846
1,0,8,0.0982471440103079,-0
1,0,9,0.232373729234534,0.46112608898423
1,0,10,0.051835511392028,NaN
1,0,11,0.164743882377451,0.460770003167785
1,0,12,0.208929251778621,0.195319016064718
1,0,13,0.290194879325973,0.561082756672004
1,0,14,0.333969232099498,0.37709160149981
1,0,15,0.387220208689571,0.540490825826217
1,0,16,0.107443930052798,-0
1,0,17,0.0239108729704473,-0
1,0,18,0.540807212900207,0.845508202680752
1,0,19,0.272333426254167,0.350508311518871
1,0,20,0.443663367124202,0.492043983634947
1,0,21,0.776687601931143,0.898713940547889
1,0,22,0.357415646529772,0.574229880510677
1,0,23,0.109777235641819,-0
1,0,24,0.178056971726509,0.58495260217977
1,0,25,0.11512649752586,-0
1,0,26,0.106306348394864,-0
1,0,27,0.0694093464107163,-0
1,0,28,0.0633643994992785,-0
1,0,29,0.124444694159573,-0
1,0,30,0.0180858825981882,-0
1,0,31,0.00646292216895172,-0
1,0,32,0.00155860635795058,-0
1,0,33,0.526422050655329,0.775133110111841
1,0,34,0.00976600871762678,-0
2,21,1,0.147946412124265,-0
2,21,2,0.0264950316819388,-0
2,21,3,0.213407620837104,-0
2,21,4,0.0369962829651128,-0
2,21,5,0.0157996692117219,-0
2,21,6,0.0365224787892146,-0
2,21,7,0.0230020789035806,-0
2,21,8,0.0318950200546901,-0
2,21,9,0.0294205151781262,-0
2,21,10,0.0207956850832665,-0
2,21,11,0.0295635351992193,-0
2,21,12,0.016661168890072,-0
2,21,13,0.0168770673320449,-0
2,21,14,0.00738251546051272,-0
2,21,15,0.0193822483855601,-0
2,21,16,0.0367655516394859,-0
2,21,17,0.0190472606889031,-0
2,21,18,0.0105416139342785,-0
2,21,19,0.0457100725978276,-0
2,21,20,0.0109244133557727,-0
2,21,21,0.805604677514645,0.893769945040291
2,21,22,0.0199652595397677,-0
2,21,23,0.0275345490012361,-0
2,21,24,0.0203162368379938,-0
2,21,25,0.0242139727914779,-0
2,21,26,0.0244998114981143,-0
2,21,27,0.0337514691719092,-0
2,21,28,0.0255910612563808,-0
2,21,29,0.0343364182788481,-0
2,21,30,0.00145562246074571,-0
2,21,31,0.00103305172016166,-0
2,21,32,0.000388365420785242,-0
2,21,33,0.0147325424656156,-0
2,21,34,1.6068043895423e-08,-0
2,22,1,0.000642435734641289,-0
2,22,2,0.00433003492799233,-0
2,22,3,0.000657709159954778,-0
2,22,4,0.00131202276782949,-0
2,22,5,0.000809773445675677,-0
2,22,6,0.00147134912358127,-0
2,22,7,0.00512709832565394,-0
2,22,8,0.00125909810519309,-0
2,22,9,0.00158625683166125,-0
2,22,10,0.00124745051835107,-0
2,22,11,0.00167896153225289,-0
2,22,12,0.00176811005655586,-0
2,22,13,0.00215756823540347,-0
2,22,14,0.00123729894026969,-0
2,22,15,0.00369356158886369,-0
2,22,16,0.0028809592721506,-0
2,22,17,0.000815457719626322,-0
2,22,18,0.00401409397569263,-0
2,22,19,0.00142123032161545,-0
2,22,20,0.000284772286613721,-0
2,22,21,0.000387250459491284,-0
2,22,22,0.105823723880732,0.170373180283914
2,22,23,0.00373959084213138,-0
2,22,24,0.00221935389552252,-0
2,22,25,0.00976379413754891,-0
2,22,26,0.00127809132744372,-0
2,22,27,0.00182651102570641,-0
2,22,28,0.000926786092188658,-0
2,22,29,0.00247091764866547,-0
2,22,30,0.000133811172594922,-0
2,22,31,0.000131389591389808,-0
2,22,32,1.86839341802525e-05,-0
2,22,33,0.000268001995618494,-0
2,22,34,8.26606783022044e-10,-0
2,24,1,0.00149463908007141,-0
2,24,2,0.0186702338398124,-0
2,24,3,0.00168033900370079,-0
2,24,4,0.00285038751228173,-0
2,24,5,0.0015312650977034,-0
2,24,6,0.0032417575472572,-0
2,24,7,0.0226996138700106,-0
2,24,8,0.00314752369581361,-0
2,24,9,0.00248878293932786,-0
2,24,10,0.00218058273976762,-0
2,24,11,0.00304983672744941,-0
2,24,12,0.00438318852820108,-0
2,24,13,0.00572420113471828,-0
2,24,14,0.00257386807483162,-0
2,24,15,0.0101926127547206,-0
2,24,16,0.0031183064580752,-0
2,24,17,0.00139734139498937,-0
2,24,18,0.00147334253563491,-0
2,24,19,0.00368007657879699,-0
2,24,20,0.000515223632954309,-0
2,24,21,0.00195164729467612,-0
2,24,22,0.00363103220172212,-0
2,24,23,0.0209138407369358,-0
2,24,24,0.492218073442451,0.885331756985963
2,24,25,0.0667815472915011,-0
2,24,26,0.00270251382065578,-0
2,24,27,0.0036288137171272,-0
2,24,28,0.00150450609355057,-0
2,24,29,0.00525135764327589,-0
2,24,30,0.000457545884659294,-0
2,24,31,0.000395278801072263,-0
2,24,32,5.74955462234739e-05,-0
2,24,33,0.000568988464811127,-0
2,24,34,1.48672807398498e-09,-0
2,33,1,0.0060283980815673,-0
2,33,2,0.010969138805033,-0
2,33,3,0.00604442317717768,-0
2,33,4,0.0123735451616561,-0
2,33,5,0.00652779878749066,-0
2,33,6,0.027889521714094,-0
2,33,7,0.0100864039834856,-0
2,33,8,0.0103172147673074,-0
2,33,9,0.012698234565263,-0
2,33,10,0.00765559414914962,-0
2,33,11,0.00903622237730684,-0
2,33,12,0.00651888039943305,-0
2,33,13,0.00811292053392265,-0
2,33,14,0.00396365685186006,-0
2,33,15,0.008453601752625,-0
2,33,16,0.0182028299857128,-0
2,33,17,0.00735723420774714,-0
2,33,18,0.00541345284367167,-0
2,33,19,0.0124331541412844,-0
2,33,20,0.00244688107570934,-0
2,33,21,0.00304402112033741,-0
2,33,22,0.00641508339093899,-0
2,33,23,0.0118626264812445,-0
2,33,24,0.0129914610121142,-0
2,33,25,0.0093222736116052,-0
2,33,26,0.027186738201938,-0
2,33,27,0.0158220011549298,-0
2,33,28,0.01004950654697,-0
2,33,29,0.0201961141403834,-0
2,33,30,0.000863891892886604,-0
2,33,31,0.000747781669315772,-0
2,33,32,0.000139072130598272,-0
2,33,33,0.58692484255497,0.666333902929802
2,33,34,6.20436380049938e-09,-0
2,20,1,0.0337165575028552,-0
2,20,2,0.365499175541315,0.321233648715821
2,20,3,0.019883455056805,-0
2,20,4,0.296220490388973,0.468039477640533
2,20,5,0.07888466131351,0.0998340633735638
2,20,6,0.239699206901494,0.541735566020775
2,20,7,0.559201209285059,0.825077048653277
2,20,8,0.0547294883482234,-0
2,20,9,0.189196103950875,0.371995424970825
2,20,10,0.103721672199862,0.297634990256163
2,20,11,0.13847352719447,0.216024507506497
2,20,12,0.124943873738128,0.124718748256553
2,20,13,0.106844419732982,0.106277988123564
2,20,14,0.205110578437132,0.209929487432393
2,20,15,0.204794011958343,0.293551048439576
2,20,16,0.0567044733404954,-0
2,20,17,0.0220453045388972,-0
2,20,18,0.562500788167618,0.686598278898479
2,20,19,0.20316186320075,0.300598458811108
2,20,20,0.446881667314477,0.479191854252553
2,20,21,0.0104721662057324,-0
2,20,22,0.234504536276395,0.283331142954979
2,20,23,0.055232587141235,-0
2,20,24,0.0492668555442706,-0
2,20,25,0.0788276529678417,-0
2,20,26,0.053937421484441,-0
2,20,27,0.0621623514213269,-0
2,20,28,0.0405205188857785,-0
2,20,29,0.0707505418709758,-0
2,20,30,0.00275879965679704,-0
2,20,31,0.00286830995391274,-0
2,20,32,0.00049724006853813,-0
2,20,33,0.0173768591005595,-0
2,20,34,2.13183450892274e-08,-0
2,0,1,0.189828442523401,-0
2,0,2,0.425963614796092,0.321233648715821
2,0,3,0.241673547234742,-0
2,0,4,0.349752728795853,0.468039477640533
2,0,5,0.103553167856101,0.0998340633735638
2,0,6,0.308824314075642,0.541735566020775
2,0,7,0.62011640436779,0.825077048653277
2,0,8,0.101348344971228,-0
2,0,9,0.235389893465254,0.371995424970825
2,0,10,0.135600984690397,0.297634990256163
2,0,11,0.181802083030697,0.216024507506497
2,0,12,0.15427522161239,0.124718748256553
2,0,13,0.139716176969071,0.106277988123564
2,0,14,0.220267917764607,0.209929487432393
2,0,15,0.246516036440112,0.293551048439576
2,0,16,0.11767212069592,-0
2,0,17,0.0506625985501634,-0
2,0,18,0.583943291456896,0.686598278898479
2,0,19,0.266406396840275,0.300598458811108
2,0,20,0.461052957665528,0.479191854252553
2,0,21,0.821459762594883,0.893769945040291
2,0,22,0.370339635289555,0.453704323238893
2,0,23,0.119283194202783,-0
2,0,24,0.577011980732352,0.885331756985963
2,0,25,0.188909240799976,-0
2,0,26,0.109604576332592,-0
2,0,27,0.117191146491,-0
2,0,28,0.0785923788748684,-0
2,0,29,0.133005349582148,-0
2,0,30,0.00566967106768346,-0
2,0,31,0.00517581173585269,-0
2,0,32,0.00110085710032581,-0
2,0,33,0.619871234581575,0.666333902929802
2,0,34,4.59040874201122e-08,-0
3,21,1,0.146085393008742,-0
3,21,2,0.0230140393210352,NaN
3,21,3,0.27991536685935,-0
3,21,4,0.0201110837373213,-0
3,21,5,0.00896004691601759,-0
