coucode,hrisk_tot,hrisk_tot_direct,emp_needed_tot,tele_tot
1,0.236774254627941,0.166580245814276,0.365907695438531,0.372277010777228
2,0.211598785200271,0.158649084129234,0.32451372582033,0.361829807160882
3,0.242034258875384,0.185265575301753,0.396890462593106,0.432718167354048
4,0.44228761039731,0.259932642337211,0.588380007652393,0.314683807747495
5,0.318437712005882,0.190597444537571,0.44531583142273,0.316506830199723
6,0.245047987623378,0.149346928409988,0.390762851632542,0.380902660526499
7,0.253094879991484,0.18164921826595,0.405325121537901,0.394723098174835
8,0.351980333093319,0.224616607148215,0.463620070921113,0.28696346270791
9,0.243468158133876,0.153395864726662,0.387575915339872,0.361997178501841
10,0.235104412899613,0.131695185412149,0.349342891840274,0.34586346512274
11,0.256277079264398,0.169520279231019,0.403963998162554,0.381731285390029
12,0.271393423304679,0.204722704538089,0.409225218224003,0.381609170130752
13,0.238055285719624,0.146571298387577,0.362797495461494,0.365912782375775
14,0.255392220117284,0.15120849996568,0.378157875707488,0.360517421290904
15,0.274322278601618,0.194285566064315,0.408656277592554,0.368146908559667
16,0.270719476050445,0.201192699719909,0.421066552445864,0.398310627635854
17,0.222420666839273,0.150710717266263,0.371211301572847,0.412363264099135
18,0.481258930146635,0.226135844339887,0.660766902414276,0.336107162992804
19,0.460053654133493,0.227500941067747,0.627815433412493,0.314581542101753
20,0.276467835129715,0.185807267909799,0.416012737217712,0.352319761832966
21,0.448195553229501,0.293138195220695,0.56044090077763,0.262589416161065
22,0.488853938739782,0.393019506002483,0.574015797520299,0.207820618800164
23,0.208341761568235,0.182683859719001,0.320544011408212,0.367878086131765
24,0.206676123046515,0.132759642652988,0.319505958429494,0.367952418495591
25,0.290632343231791,0.179677229674018,0.430835420508357,0.336296988224752
26,0.253242520910022,0.145353444834355,0.375766539491216,0.356884160282254
27,0.343467870258237,0.204322547380619,0.485421352028552,0.34567054642471
28,0.210270588618806,0.152925384367084,0.386773900764752,0.432801182045184
29,0.262943522836988,0.160627866158834,0.38341405260259,0.361771837248639
30,0.365365295278225,0.254442209781824,0.473458230267371,0.276349995139985
31,0.223096273958366,0.146161698053738,0.391331140629947,0.413913039340492
32,0.246232952625584,0.184614256656273,0.395319173349057,0.420606469124013
33,0.323865174422805,0.232151402894556,0.465859330869139,0.36321904202418
34,0.340232094867547,0.215636804711622,0.475823647797827,0.332811567873541
35,0.304356397800038,0.201417510850934,0.446711637920819,0.338453857600328
36,0.575208440630051,0.338843145884369,0.721760986756303,0.248360536671386
37,0.418912251299919,0.240388695101486,0.544857535243731,0.30622943545716
38,0.293416522277038,0.143687906412588,0.452797717400865,0.365038104308617
39,0.307012121193904,0.190119684566565,0.45500343663254,0.370531247780087
40,0.243534057874398,0.180228889955333,0.363849916923338,0.395893949692186
41,0.404490273874378,0.267604866806726,0.524534868733235,0.264115089085514
42,0.201213033477004,0.133038195864263,0.300824472281929,0.362929389575837
43,0.303448883713397,0.211668160302617,0.499757184052671,0.379513485451224
